Target = TOI5807
Date_Obs [UT] = 2024-07-27
Telescope = Palomar-5m
Instrument = PHARO
Filter = Kcont
Pixel_Scale [arsec/pix] = 0.025
PSF_FWHM [arcsec] = 0.102311
PI: Ciardi
arcsec, dmag, dmrms
0.000, 0.000, 0.000
0.111, 2.088, 0.630
0.210, 3.188, 0.410
0.311, 4.836, 0.879
0.412, 5.968, 0.979
0.514, 6.991, 0.482
0.616, 7.187, 0.324
0.718, 7.497, 0.364
0.821, 8.036, 0.299
0.922, 7.881, 0.298
1.025, 8.461, 0.210
1.127, 8.753, 0.306
1.229, 8.925, 0.325
1.331, 9.011, 0.227
1.433, 9.356, 0.347
1.535, 9.525, 0.288
1.638, 9.567, 0.384
1.740, 9.700, 0.417
1.842, 9.656, 0.343
1.945, 9.720, 0.308
2.047, 9.776, 0.319
2.149, 9.784, 0.341
2.252, 9.839, 0.332
2.353, 9.847, 0.347
2.456, 9.867, 0.310
2.558, 9.892, 0.313
2.661, 9.897, 0.272
2.763, 9.896, 0.268
2.865, 9.891, 0.237
2.968, 9.906, 0.232
3.070, 9.911, 0.146
3.172, 9.897, 0.111
3.274, 9.909, 0.124
3.376, 9.911, 0.087
3.479, 9.931, 0.087
3.581, 9.918, 0.067
3.684, 9.916, 0.053
3.786, 9.917, 0.055
3.888, 9.930, 0.052
3.990, 9.949, 0.056
4.093, 9.933, 0.039
4.195, 9.945, 0.048
4.297, 9.954, 0.042
4.400, 9.938, 0.032
4.502, 9.940, 0.052
4.604, 9.953, 0.036
4.707, 9.936, 0.034
4.809, 9.943, 0.028
4.911, 9.953, 0.030
5.014, 9.946, 0.031
5.116, 9.955, 0.039
5.218, 9.965, 0.043
5.320, 9.949, 0.030
5.422, 9.960, 0.031
5.525, 9.951, 0.035
5.627, 9.943, 0.032
5.730, 9.942, 0.034
5.832, 9.948, 0.029
5.934, 9.947, 0.046
6.037, 9.951, 0.036
6.139, 9.939, 0.031
6.241, 9.949, 0.040
6.344, 9.931, 0.034
6.446, 9.929, 0.035
6.548, 9.928, 0.032
6.650, 9.938, 0.038
6.753, 9.941, 0.031
6.855, 9.948, 0.046
6.957, 9.924, 0.037
7.060, 9.945, 0.039
7.162, 9.953, 0.047
7.264, 9.943, 0.043
7.366, 9.940, 0.037
7.469, 9.933, 0.036
7.571, 9.945, 0.039
7.674, 9.932, 0.039
7.776, 9.930, 0.041
7.878, 9.945, 0.045
7.981, 9.935, 0.047
8.083, 9.916, 0.040
8.185, 9.920, 0.044
8.287, 9.914, 0.043
8.390, 9.917, 0.037
8.492, 9.928, 0.051
8.594, 9.915, 0.039
8.697, 9.917, 0.034
8.799, 9.905, 0.046
8.901, 9.902, 0.051
9.003, 9.887, 0.049
9.106, 9.896, 0.050
9.208, 9.900, 0.061
9.310, 9.886, 0.057
9.413, 9.885, 0.048
9.515, 9.870, 0.049
9.617, 9.877, 0.058
9.720, 9.879, 0.055
9.822, 9.855, 0.053
