,logg,Teff,Z,aLSM,bLSM
0,3.5,4000,-5.0,0.12694981815897347,0.40219457772490985
1,3.5,4250,-5.0,0.1576862350626728,0.37548490232900217
2,4.0,4250,-5.0,0.11178784020513786,0.3777968402469541
3,3.5,4500,-5.0,0.28110983385448507,0.33507777280078127
4,4.0,4500,-5.0,0.19018051436893446,0.357995910936916
5,3.5,4750,-5.0,0.3536202432615435,0.3232286061413183
6,4.0,4750,-5.0,0.2578407677673387,0.3517887592340335
7,4.5,4750,-5.0,0.18750922529570616,0.35904796082441137
8,3.5,5000,-5.0,0.327315294486581,0.32108051575468227
9,4.0,5000,-5.0,0.3009223959476393,0.32500192863924593
10,4.5,5000,-5.0,0.2583082836891276,0.3342817182532212
11,5.0,5000,-5.0,0.21570417050917035,0.33955506240000133
12,3.5,5250,-5.0,0.3353242715198495,0.3197318281023431
13,4.0,5250,-5.0,0.308157481257474,0.33064429591071753
14,4.5,5250,-5.0,0.2815855490103165,0.3334217705888061
15,5.0,5250,-5.0,0.24130579405160962,0.3754504993984281
16,3.5,5500,-5.0,0.3453964544784605,0.3131482422532184
17,4.0,5500,-5.0,0.32117185271391424,0.32891625706257027
18,4.5,5500,-5.0,0.2961377914046677,0.3369728434680567
19,5.0,5500,-5.0,0.26962229103064683,0.34151462491337176
20,3.5,5750,-5.0,0.3512161487359949,0.30722770068218513
21,4.0,5750,-5.0,0.32736896025254825,0.3243942680103828
22,4.5,5750,-5.0,0.3050928745465787,0.33483260289498357
23,5.0,5750,-5.0,0.27935754138019375,0.34245217755510415
24,3.5,6000,-5.0,0.355273302889183,0.2977652526908945
25,4.0,6000,-5.0,0.3331854281052878,0.3171997890802402
26,4.5,6000,-5.0,0.31375271789187614,0.32952371331566643
27,5.0,6000,-5.0,0.2911782528840183,0.3395242593128718
28,3.5,6250,-5.0,0.35618305337829737,0.29288645630872795
29,4.0,6250,-5.0,0.3361486216139995,0.3112773745862445
30,4.5,6250,-5.0,0.3187043622612446,0.3245505848144298
