,logg,Teff,Z,aLSM,bLSM
0,3.5,4000,-5.0,0.018697655857529874,0.16693380400057733
1,3.5,4250,-5.0,0.031765895426745405,0.18390643940187293
2,4.0,4250,-5.0,0.02187365911314936,0.16683324533707272
3,3.5,4500,-5.0,0.048870671203900734,0.23632182192111348
4,4.0,4500,-5.0,0.0422090419063782,0.2012989935166828
5,3.5,4750,-5.0,0.04186662258281801,0.27461979090223815
6,4.0,4750,-5.0,0.04727778975265186,0.23345347650028397
7,4.5,4750,-5.0,0.042203050597400885,0.20342929013585578
8,3.5,5000,-5.0,0.08590388320010438,0.23589017489763844
9,4.0,5000,-5.0,0.07018079234636193,0.23708516858234077
10,4.5,5000,-5.0,0.06019229532081882,0.22546461039002288
11,5.0,5000,-5.0,0.04885560205275585,0.21229004105834293
12,3.5,5250,-5.0,0.09519964179384047,0.22962188344211099
13,4.0,5250,-5.0,0.0799005279788251,0.2332179610874899
14,4.5,5250,-5.0,0.06685443945573015,0.23200456764725066
15,5.0,5250,-5.0,0.04310383913583629,0.2390856219025776
16,3.5,5500,-5.0,0.09898449562912932,0.2246447147005357
17,4.0,5500,-5.0,0.08808888962804923,0.22899460090737642
18,4.5,5500,-5.0,0.07706667948578562,0.2300195540118169
19,5.0,5500,-5.0,0.06550671392122287,0.22871717375881034
20,3.5,5750,-5.0,0.09523368481051253,0.22517367335709845
21,4.0,5750,-5.0,0.08850298864687696,0.22775677090700172
22,4.5,5750,-5.0,0.08047269455172605,0.22921912130154337
23,5.0,5750,-5.0,0.07104715189128116,0.22833194520213693
24,3.5,6000,-5.0,0.08564745854348021,0.2256027845755283
25,4.0,6000,-5.0,0.08216905261614472,0.22915551433300507
26,4.5,6000,-5.0,0.07885109516820345,0.23026294814070164
27,5.0,6000,-5.0,0.07383131521933158,0.2291502257307936
28,3.5,6250,-5.0,0.07743041007752857,0.2261922937719469
29,4.0,6250,-5.0,0.0756117819345703,0.2308017924687327
30,4.5,6250,-5.0,0.07386378211443236,0.23346595701050257
31,5.0,6250,-5.0,0.07259826845776142,0.23054531824216776
32,3.5,6500,-5.0,0.06434487676436362,0.22604901635086808
33,4.0,6500,-5.0,0.06451606242442422,0.23216147652453342
34,4.5,6500,-5.0,0.06577150154210112,0.23453786403777194
35,5.0,6500,-5.0,0.06712805469353517,0.23351140725497305
36,3.5,6750,-5.0,0.055659794099071284,0.22550181973052202
37,4.0,6750,-5.0,0.05726248616977058,0.23141408720143217
38,4.5,6750,-5.0,0.05953920633534133,0.2349367251063827
39,5.0,6750,-5.0,0.062111394108465556,0.2356183463748529
40,3.5,7000,-5.0,0.04385895385532128,0.22447558187037342
41,4.0,7000,-5.0,0.04717741144639785,0.22939368325419215
42,4.5,7000,-5.0,0.05107135000308073,0.23343002430649934
43,5.0,7000,-5.0,0.05513339895012156,0.23501019109912324
44,3.5,7250,-5.0,0.03882011108210502,0.22402748846242138
45,4.0,7250,-5.0,0.04218613016192809,0.22705611557495195
46,4.5,7250,-5.0,0.04629713823353587,0.23104439704598567
47,5.0,7250,-5.0,0.050716124583035725,0.23381533846493735
48,3.5,7500,-5.0,0.04295711316479589,0.20008880806556262
49,4.0,7500,-5.0,0.03845413751757389,0.22196358791053536
50,4.5,7500,-5.0,0.04115535466509701,0.22596876422975987
51,5.0,7500,-5.0,0.04513651572599764,0.22984672796427696
52,3.5,7750,-5.0,0.055427161208230775,0.19597583438666918
53,4.0,7750,-5.0,0.036713811238407335,0.21263856696132388
54,4.5,7750,-5.0,0.039453434609078734,0.22205744519311216
55,5.0,7750,-5.0,0.04275279207790565,0.22618441457061525
56,3.5,8000,-5.0,0.08279331701391697,0.17659221514059262
57,4.0,8000,-5.0,0.04898485310480518,0.20114925631109157
58,4.5,8000,-5.0,0.03899716491165888,0.21102519824800173
59,5.0,8000,-5.0,0.041486315012008446,0.21910945803204693
60,3.5,8250,-5.0,0.0923147735139778,0.15637654889744543
61,4.0,8250,-5.0,0.07196860842620047,0.1816082679744562
62,4.5,8250,-5.0,0.042758880783995395,0.20428014721899998
63,5.0,8250,-5.0,0.04302119841578622,0.21290224206847586
64,3.5,8500,-5.0,0.08859639110640162,0.14880936487613114
65,4.0,8500,-5.0,0.09248822933473967,0.1468433227622692
66,4.5,8500,-5.0,0.07477188886046543,0.1741188594493788
67,5.0,8500,-5.0,0.04504863695612371,0.19953554194575585
68,3.5,8750,-5.0,0.08671844081424226,0.1451853960833679
69,4.0,8750,-5.0,0.08930420008373507,0.14183744600051068
70,4.5,8750,-5.0,0.09183255702155313,0.14655657539708633
71,5.0,8750,-5.0,0.06777007626505134,0.18095976526120214
72,3.5,9000,-5.0,0.08414559966828507,0.1407453752728275
73,4.0,9000,-5.0,0.08609588380187011,0.13666829842591308
74,4.5,9000,-5.0,0.08941144446475967,0.1347764352830343
75,5.0,9000,-5.0,0.09177208409863301,0.14295487318164737
76,3.5,9250,-5.0,0.08414559966828507,0.1407453752728275
77,4.0,9250,-5.0,0.08609588380187011,0.13666829842591308
78,4.5,9250,-5.0,0.08941144446475967,0.1347764352830343
79,5.0,9250,-5.0,0.09177208409863301,0.14295487318164737
80,3.5,9500,-5.0,0.08414559966828507,0.1407453752728275
81,4.0,9500,-5.0,0.08609588380187011,0.13666829842591308
82,4.5,9500,-5.0,0.08941144446475967,0.1347764352830343
83,5.0,9500,-5.0,0.09177208409863301,0.14295487318164737
84,3.5,9750,-5.0,0.08414559966828507,0.1407453752728275
85,4.0,9750,-5.0,0.08609588380187011,0.13666829842591308
86,4.5,9750,-5.0,0.08941144446475967,0.1347764352830343
87,5.0,9750,-5.0,0.09177208409863301,0.14295487318164737
88,3.5,10000,-5.0,0.08414559966828507,0.1407453752728275
89,4.0,10000,-5.0,0.08609588380187011,0.13666829842591308
90,4.5,10000,-5.0,0.08941144446475967,0.1347764352830343
91,5.0,10000,-5.0,0.09177208409863301,0.14295487318164737
92,3.5,3750,-4.5,0.004705129492483806,0.20533255941305184
93,3.5,4000,-4.5,0.017930451813059523,0.17066859909286358
94,4.0,4000,-4.5,0.014872360811890636,0.1659412268208427
95,3.5,4250,-4.5,0.03191378206882955,0.18508556570839776
96,4.0,4250,-4.5,0.022664770535812277,0.1681629002442894
97,4.5,4250,-4.5,0.017527166303350605,0.16193802688811187
98,3.5,4500,-4.5,0.048949320594867785,0.2368800860910779
99,4.0,4500,-4.5,0.04221479771042331,0.20210904941304175
100,4.5,4500,-4.5,0.03132991624330938,0.18008224219864055
101,5.0,4500,-4.5,0.024056966507709273,0.1657577678909992
102,3.5,4750,-4.5,0.041435397931330775,0.2754826590603534
103,4.0,4750,-4.5,0.047119061241434355,0.23404448970912514
104,4.5,4750,-4.5,0.04223068817962174,0.20396975573098622
105,5.0,4750,-4.5,0.03366543327647118,0.18224153794239956
106,3.5,5000,-4.5,0.08594527997366314,0.2360748800247954
107,4.0,5000,-4.5,0.07043764480981583,0.23674872784321643
108,4.5,5000,-4.5,0.06015541606068399,0.22468872651111943
109,5.0,5000,-4.5,0.043485599702653616,0.2166780151026673
110,3.5,5250,-4.5,0.0951724266322101,0.22979306958626836
111,4.0,5250,-4.5,0.07973383840453213,0.23367809894802738
112,4.5,5250,-4.5,0.06680934737365188,0.2322810347630664
113,5.0,5250,-4.5,0.043179453438230715,0.23917245052671646
114,3.5,5500,-4.5,0.09898389717083994,0.2247011585851845
115,4.0,5500,-4.5,0.08823578266583747,0.22866581641490358
116,4.5,5500,-4.5,0.07727524044284326,0.22997994499053614
117,5.0,5500,-4.5,0.06705867127163032,0.22726320787447313
118,3.5,5750,-4.5,0.09512982436258424,0.22548378743018113
119,4.0,5750,-4.5,0.08846315778256619,0.22790369446924394
120,4.5,5750,-4.5,0.08033990715198829,0.2292358919892873
121,5.0,5750,-4.5,0.0709616592252437,0.22856068130812882
122,3.5,6000,-4.5,0.0854415443477632,0.225835017722418
123,4.0,6000,-4.5,0.08221934210577869,0.22901284018816304
124,4.5,6000,-4.5,0.07872090582278671,0.23037353773120972
125,5.0,6000,-4.5,0.07366827139605493,0.2293662089630564
126,3.5,6250,-4.5,0.07740145924199678,0.22620106675303445
127,4.0,6250,-4.5,0.07560353543332388,0.2308097678698876
128,4.5,6250,-4.5,0.07374267673821612,0.23367321619494527
129,5.0,6250,-4.5,0.0726206214311403,0.23072079499452183
130,3.5,6500,-4.5,0.06431525010944149,0.2260559135464177
131,4.0,6500,-4.5,0.06464709602250347,0.2317440811887663
132,4.5,6500,-4.5,0.06577050312358991,0.2345123928318108
133,5.0,6500,-4.5,0.0670841369935192,0.23356153152045903
134,3.5,6750,-4.5,0.05566354183465167,0.2254317643407009
135,4.0,6750,-4.5,0.05725514465690235,0.2313725869838214
136,4.5,6750,-4.5,0.059530386514852776,0.23494306832643214
137,5.0,6750,-4.5,0.062351677133309594,0.235152975620413
138,3.5,7000,-4.5,0.04386948419116553,0.22442654029093256
139,4.0,7000,-4.5,0.04719864518894895,0.22933092662779986
140,4.5,7000,-4.5,0.0510815558750233,0.23337844912923333
141,5.0,7000,-4.5,0.05519972106191812,0.23487732546468948
142,3.5,7250,-4.5,0.03883317956286192,0.22400530094179139
143,4.0,7250,-4.5,0.04214323692368042,0.22702905375997381
144,4.5,7250,-4.5,0.046314096722236846,0.23096940079374684
145,5.0,7250,-4.5,0.050757528267026925,0.233516091790315
146,3.5,7500,-4.5,0.04228020821406678,0.20164737154276852
147,4.0,7500,-4.5,0.0384855039848594,0.22188318210738728
148,4.5,7500,-4.5,0.0411824296749786,0.22585569749792778
149,5.0,7500,-4.5,0.04515410367335937,0.22977071745102973
150,3.5,7750,-4.5,0.05562006714858129,0.1956413937279201
151,4.0,7750,-4.5,0.0367153860743335,0.21260831808322142
152,4.5,7750,-4.5,0.03950613103087856,0.2219693835806299
153,5.0,7750,-4.5,0.04279258691974078,0.22602080782304396
154,3.5,8000,-4.5,0.08285878376076498,0.17646299912341754
155,4.0,8000,-4.5,0.04909284765872135,0.20105041883545793
156,4.5,8000,-4.5,0.039036034955036776,0.21095248085755708
157,5.0,8000,-4.5,0.041536139656314086,0.21901064727053166
158,3.5,8250,-4.5,0.09228722743113968,0.1563363808323034
159,4.0,8250,-4.5,0.07208082529775521,0.18145295808157144
160,4.5,8250,-4.5,0.04265890007871232,0.2040953709489771
161,5.0,8250,-4.5,0.04307955182583528,0.2127845817077215
162,3.5,8500,-4.5,0.0885731474946089,0.1487872219712651
163,4.0,8500,-4.5,0.09246780545930021,0.14679091843588465
164,4.5,8500,-4.5,0.07483328508793223,0.17397038109584237
165,5.0,8500,-4.5,0.045101775177349576,0.19942449627509673
166,3.5,8750,-4.5,0.08669200282780899,0.14515820140477603
167,4.0,8750,-4.5,0.08928656049160924,0.1417962012523874
168,4.5,8750,-4.5,0.09187983686965412,0.14641902395297898
169,5.0,8750,-4.5,0.06786166684553695,0.18080255509066093
170,3.5,9000,-4.5,0.08412859307877171,0.14069179695457412
171,4.0,9000,-4.5,0.08607792411889811,0.1366249074745491
172,4.5,9000,-4.5,0.08939440049359616,0.13473584855109583
173,5.0,9000,-4.5,0.09180143683594724,0.14284125101449663
174,3.5,9250,-4.5,0.08412859307877171,0.14069179695457412
175,4.0,9250,-4.5,0.08607792411889811,0.1366249074745491
176,4.5,9250,-4.5,0.08939440049359616,0.13473584855109583
177,5.0,9250,-4.5,0.09180143683594724,0.14284125101449663
178,3.5,9500,-4.5,0.08412859307877171,0.14069179695457412
179,4.0,9500,-4.5,0.08607792411889811,0.1366249074745491
180,4.5,9500,-4.5,0.08939440049359616,0.13473584855109583
181,5.0,9500,-4.5,0.09180143683594724,0.14284125101449663
182,3.5,9750,-4.5,0.08412859307877171,0.14069179695457412
183,4.0,9750,-4.5,0.08607792411889811,0.1366249074745491
184,4.5,9750,-4.5,0.08939440049359616,0.13473584855109583
185,5.0,9750,-4.5,0.09180143683594724,0.14284125101449663
186,3.5,10000,-4.5,0.08412859307877171,0.14069179695457412
187,4.0,10000,-4.5,0.08607792411889811,0.1366249074745491
188,4.5,10000,-4.5,0.08939440049359616,0.13473584855109583
189,5.0,10000,-4.5,0.09180143683594724,0.14284125101449663
190,3.5,3750,-4.0,0.006218382628613961,0.2155476695390557
191,3.5,4000,-4.0,0.01736186832997133,0.1795173379262146
192,4.0,4000,-4.0,0.013800656968372743,0.17814716521365742
193,4.5,4000,-4.0,0.010659164586545127,0.1860009228228312
194,3.5,4250,-4.0,0.032421030074789935,0.1889259473632695
195,4.0,4250,-4.0,0.022635794491769223,0.17089530908464523
196,3.5,4500,-4.0,0.048338598068283556,0.23982840066993538
197,4.0,4500,-4.0,0.04203909982741161,0.20394440342913178
