logg,Teff,Z,aLSM,bLSM
3.5,4000,-5,0.23955518907987416,0.3673376930524008
3.5,4250,-5,0.25238174438340394,0.3586036307622101
4,4250,-5,0.1787789393462314,0.3920683035077494
3.5,4500,-5,0.3978155097835411,0.2899626481749683
4,4500,-5,0.26786137004826477,0.3563842496130464
3.5,4750,-5,0.4727399341708698,0.2731976027783421
4,4750,-5,0.3491748784676601,0.33569488144000215
4.5,4750,-5,0.2542183247869423,0.3666209096432245
3.5,5000,-5,0.4589079347610311,0.2624266248613937
4,5000,-5,0.4107202953046732,0.2913272010899461
4.5,5000,-5,0.3478150597813377,0.3212577305010949
5,5000,-5,0.28479748994005294,0.3458469078387195
3.5,5250,-5,0.46602332140783775,0.26326879349048493
4,5250,-5,0.42099061061456916,0.2931897267230244
4.5,5250,-5,0.3774911802459929,0.3140686918021041
5,5250,-5,0.3095912906007864,0.38238054263513743
3.5,5500,-5,0.47321150153123875,0.26200971835626224
4,5500,-5,0.4332004501642474,0.29355282522909115
4.5,5500,-5,0.39557508082438275,0.31391218687754885
5,5500,-5,0.3562751275023441,0.33086796484088377
3.5,5750,-5,0.47658118419852413,0.26001220066802333
4,5750,-5,0.43820442202743176,0.2912930609425893
4.5,5750,-5,0.40396921699604144,0.31311203403775795
5,5750,-5,0.3672216587101901,0.33080575040673577
3.5,6000,-5,0.47808443379631527,0.2548863660263957
4,6000,-5,0.4412256593640703,0.28822408424010143
4.5,6000,-5,0.4101837929408987,0.3113252733783672
5,6000,-5,0.3781454018240417,0.32952666397374414
3.5,6250,-5,0.4770119100734946,0.25301188885945836
4,6250,-5,0.44214590856519675,0.28511854468109354
4.5,6250,-5,0.4123372492063671,0.309959794
5,6250,-5,0.38274084204495834,0.3273208235431915
3.5,6500,-5,0.4711601844655679,0.25317761939974326
4,6500,-5,0.43989200026826397,0.28216063402591746
4.5,6500,-5,0.41159680648871566,0.3060325071991433
5,6500,-5,0.3848922113595708,0.324956844
3.5,6750,-5,0.4623741260938487,0.25761738908890824
4,6750,-5,0.4350565142407791,0.2822229050083931
4.5,6750,-5,0.40899731940962275,0.30460079978222987
5,6750,-5,0.3842161461651982,0.3237396942545737
3.5,7000,-5,0.4407163209410069,0.2723973977655665
4,7000,-5,0.42174406635121603,0.2882252797945972
4.5,7000,-5,0.4009022395751169,0.30570656325035994
5,7000,-5,0.3786366539247913,0.32292760447388313
3.5,7250,-5,0.4224027915074011,0.2879056232918955
4,7250,-5,0.4078796527865012,0.29700797199226825
4.5,7250,-5,0.3912788795376118,0.30994215442914486
5,7250,-5,0.37244368644475545,0.32456801169980737
3.5,7500,-5,0.4551578653557195,0.24907513220363703
4,7500,-5,0.38247622640416246,0.31547620507162055
4.5,7500,-5,0.3704530693855198,0.322234727
5,7500,-5,0.3569421576310906,0.33152018997154126
3.5,7750,-5,0.44998716640578945,0.2797578398436276
4,7750,-5,0.37513618676947175,0.31019597935410864
4.5,7750,-5,0.35352664326333355,0.3334744844435777
5,7750,-5,0.34269618480637043,0.3395429398687748
3.5,8000,-5,0.44088328484084216,0.309770682
4,8000,-5,0.3913916651034281,0.3153731656985638
4.5,8000,-5,0.3293564850710555,0.3414984271566123
5,8000,-5,0.3166825888299169,0.3547886982616275
3.5,8250,-5,0.44715529143563454,0.3008490607083355
4,8250,-5,0.38721072266290946,0.3354617514040697
4.5,8250,-5,0.33337816151008814,0.3384051185112154
5,8250,-5,0.2991432549617846,0.36489253640087055
3.5,8500,-5,0.40818178273261124,0.3182467071292926
4,8500,-5,0.40353324274401653,0.3204942975226716
4.5,8500,-5,0.3353388075353367,0.36080422877956425
5,8500,-5,0.2850196588100743,0.36064289922788617
3.5,8750,-5,0.3786133827294811,0.33087491374473554
4,8750,-5,0.3912158973352858,0.32019145818244465
4.5,8750,-5,0.352028969,0.3488144116353975
5,8750,-5,0.28354930014976243,0.3811663011088774
3.5,9000,-5,0.34415062141859887,0.3404856961371698
4,9000,-5,0.3534423420789455,0.3351600049533554
4.5,9000,-5,0.36078644047466313,0.3277451599206611
5,9000,-5,0.30414996243741477,0.3689556185682139
3.5,9250,-5,0.34415062141859887,0.3404856961371698
4,9250,-5,0.3534423420789455,0.3351600049533554
4.5,9250,-5,0.36078644047466313,0.3277451599206611
5,9250,-5,0.30414996243741477,0.3689556185682139
3.5,9500,-5,0.34415062141859887,0.3404856961371698
4,9500,-5,0.3534423420789455,0.3351600049533554
4.5,9500,-5,0.36078644047466313,0.3277451599206611
5,9500,-5,0.30414996243741477,0.3689556185682139
3.5,9750,-5,0.34415062141859887,0.3404856961371698
4,9750,-5,0.3534423420789455,0.3351600049533554
4.5,9750,-5,0.36078644047466313,0.3277451599206611
5,9750,-5,0.30414996243741477,0.3689556185682139
3.5,10000,-5,0.34415062141859887,0.3404856961371698
4,10000,-5,0.3534423420789455,0.3351600049533554
4.5,10000,-5,0.36078644047466313,0.3277451599206611
5,10000,-5,0.30414996243741477,0.3689556185682139
3.5,3750,-4.5,0.45415980774970555,0.20826847445475224
3.5,4000,-4.5,0.24463084067608845,0.3671045725975921
4,4000,-4.5,0.21719827616243687,0.3904514053550579
3.5,4250,-4.5,0.2573108161927562,0.3578903623807668
4,4250,-4.5,0.1845149206805065,0.39122428299732115
4.5,4250,-4.5,0.15898103859047882,0.401872292
3.5,4500,-4.5,0.4014176597764605,0.2891450390475004
4,4500,-4.5,0.2710234761691977,0.356834393
4.5,4500,-4.5,0.1913243966324469,0.38079744347103234
5,4500,-4.5,0.14862918783309176,0.3813820609713605
3.5,4750,-4.5,0.47539641495709534,0.2721037659543913
4,4750,-4.5,0.3512700878923874,0.3359342611334015
4.5,4750,-4.5,0.25614916773670704,0.3672470220662861
5,4750,-4.5,0.18876220503967184,0.37902318836659843
3.5,5000,-4.5,0.4600950447286254,0.26169412228505606
4,5000,-4.5,0.41088279188474147,0.29116393408088814
4.5,5000,-4.5,0.34523162238216343,0.32341595526390327
5,5000,-4.5,0.2711368153352343,0.3751980726382079
3.5,5250,-4.5,0.46667448638155073,0.26314330768622757
4,5250,-4.5,0.4222190106473604,0.29258957847890776
4.5,5250,-4.5,0.3783652707170872,0.3138686974743257
5,5250,-4.5,0.3108702839534459,0.38188207167131843
3.5,5500,-4.5,0.4737004854238891,0.2615663166291466
4,5500,-4.5,0.4335006556562294,0.2926233128074036
4.5,5500,-4.5,0.39599425482095757,0.3138775559545164
5,5500,-4.5,0.3562733063807949,0.33099478973695534
3.5,5750,-4.5,0.4774629025899618,0.2590938612214543
4,5750,-4.5,0.43871290609386865,0.29091059788117507
4.5,5750,-4.5,0.4044262769350241,0.31227822658850746
5,5750,-4.5,0.3675828840909395,0.33073285563928073
3.5,6000,-4.5,0.47775905384376127,0.2555188509599144
4,6000,-4.5,0.44123223604043893,0.28798458306379476
4.5,6000,-4.5,0.4104874292819246,0.31087185209605794
5,6000,-4.5,0.37839389117985955,0.32932295639437037
3.5,6250,-4.5,0.4772290706879982,0.25270267520465595
4,6250,-4.5,0.44242964405635515,0.2847235666856537
4.5,6250,-4.5,0.4126748126133355,0.309661712
5,6250,-4.5,0.3830520738747638,0.32739635138530704
3.5,6500,-4.5,0.47127630386156427,0.25297281853027576
4,6500,-4.5,0.4398206985098254,0.2818100185044793
4.5,6500,-4.5,0.41177089791139465,0.3057417123635896
5,6500,-4.5,0.38511097431057656,0.3246649698528785
3.5,6750,-4.5,0.46245498620518116,0.25740397313112995
4,6750,-4.5,0.43513189999169904,0.2820221797554278
4.5,6750,-4.5,0.4091375576799333,0.3043961551541999
5,6750,-4.5,0.38435503017780076,0.32321211047493464
3.5,7000,-4.5,0.440720034,0.2723035649871581
4,7000,-4.5,0.42180517431246134,0.2880682213572322
4.5,7000,-4.5,0.4009392225531907,0.30556735362327403
5,7000,-4.5,0.3787626950996992,0.32264917531272846
3.5,7250,-4.5,0.4223307988727621,0.28792240698295635
4,7250,-4.5,0.40774422140024713,0.29703621333548785
4.5,7250,-4.5,0.39125354317405603,0.30985521377330333
5,7250,-4.5,0.3722533666489904,0.32434519312541926
3.5,7500,-4.5,0.4529594993001856,0.2518447631966186
4,7500,-4.5,0.3824594953374352,0.31540266093230945
4.5,7500,-4.5,0.3704281573273222,0.3221086677407778
5,7500,-4.5,0.35693308265827567,0.33141688297445626
3.5,7750,-4.5,0.45013856029590715,0.27954370053592137
4,7750,-4.5,0.3751816400345308,0.3101102075103601
4.5,7750,-4.5,0.353519203,0.3334200721336554
5,7750,-4.5,0.3426357897515476,0.3394071272277938
3.5,8000,-4.5,0.4409329071715187,0.309653234
4,8000,-4.5,0.39136921371834915,0.31542043920583857
4.5,8000,-4.5,0.3292939296809632,0.34146719863518676
5,8000,-4.5,0.31667680546592114,0.35469914026203764
3.5,8250,-4.5,0.44713622603918757,0.30076725225009154
4,8250,-4.5,0.3872502119954563,0.3354071648115423
4.5,8250,-4.5,0.3338159876819151,0.337666622
5,8250,-4.5,0.29913195316702457,0.364800855
3.5,8500,-4.5,0.4080289463487742,0.31825798951235035
4,8500,-4.5,0.4035459309631948,0.3203849781131159
4.5,8500,-4.5,0.33547733369856764,0.3606142484323823
5,8500,-4.5,0.2851097547473699,0.36048281122011594
3.5,8750,-4.5,0.37849060634428133,0.33084107475266994
4,8750,-4.5,0.39110200171047477,0.3201797354114397
4.5,8750,-4.5,0.3521129082824568,0.3486815601947532
5,8750,-4.5,0.2836146773926103,0.3810721166804807
3.5,9000,-4.5,0.34406882529629684,0.34041161761218275
4,9000,-4.5,0.35333778519233466,0.3351253451025146
4.5,9000,-4.5,0.3607209039158146,0.32769207526758865
5,9000,-4.5,0.3042457438707307,0.3687996691081992
3.5,9250,-4.5,0.34406882529629684,0.34041161761218275
4,9250,-4.5,0.35333778519233466,0.3351253451025146
4.5,9250,-4.5,0.3607209039158146,0.32769207526758865
5,9250,-4.5,0.3042457438707307,0.3687996691081992
3.5,9500,-4.5,0.34406882529629684,0.34041161761218275
4,9500,-4.5,0.35333778519233466,0.3351253451025146
4.5,9500,-4.5,0.3607209039158146,0.32769207526758865
5,9500,-4.5,0.3042457438707307,0.3687996691081992
3.5,9750,-4.5,0.34406882529629684,0.34041161761218275
4,9750,-4.5,0.35333778519233466,0.3351253451025146
4.5,9750,-4.5,0.3607209039158146,0.32769207526758865
5,9750,-4.5,0.3042457438707307,0.3687996691081992
3.5,10000,-4.5,0.34406882529629684,0.34041161761218275
4,10000,-4.5,0.35333778519233466,0.3351253451025146
4.5,10000,-4.5,0.3607209039158146,0.32769207526758865
5,10000,-4.5,0.3042457438707307,0.3687996691081992
3.5,3750,-4,0.41123375187996813,0.26234680686887774
3.5,4000,-4,0.2523749747479223,0.37161022466219823
4,4000,-4,0.22839378787524245,0.39548755608302083
4.5,4000,-4,0.24183739355290737,0.40264591760580615
3.5,4250,-4,0.26781796116075707,0.35697750971423514
4,4250,-4,0.1888367871986917,0.39687082874305907
3.5,4500,-4,0.41132331089937374,0.2859083429989741
4,4500,-4,0.2779219227185527,0.3577944519146165
4.5,4500,-4,0.19926154518987796,0.3809314947103069
5,4500,-4,0.15369105659813756,0.392527291
3.5,4750,-4,0.4827696412513941,0.26843788919832046
4,4750,-4,0.3585235534195996,0.33412703436538693
4.5,4750,-4,0.26210176008557096,0.36799471561910946
5,4750,-4,0.1931336831465081,0.3819763531140243
3.5,5000,-4,0.46144659841921304,0.26137456400373227
4,5000,-4,0.41281756260055574,0.29111122220280483
4.5,5000,-4,0.3532675869040633,0.3201693253950438
5,5000,-4,0.28861740421632376,0.34073290182300825
3.5,5250,-4,0.46798396662340286,0.2621921123364732
4,5250,-4,0.423696087,0.2918577112316104
4.5,5250,-4,0.37933391346394907,0.31393689218446685
5,5250,-4,0.33994463902315913,0.3343316117902102
3.5,5500,-4,0.4744982445080694,0.2609550496993792
4,5500,-4,0.4348578655984166,0.2914217266335826
4.5,5500,-4,0.3970620682093172,0.3132338869935605
5,5500,-4,0.3571873814978982,0.3306629769551308
3.5,5750,-4,0.4775814452429337,0.2588631023961113
4,5750,-4,0.43948349652583985,0.29013683716774763
4.5,5750,-4,0.40528085,0.3117609804998269
5,5750,-4,0.3685017867510225,0.32994136
3.5,6000,-4,0.4785058947992741,0.25444423719563747
4,6000,-4,0.4421218601978354,0.28710669160094565
4.5,6000,-4,0.4112123372829283,0.3101208457565344
5,6000,-4,0.379114995,0.3284885626829356
3.5,6250,-4,0.47746363632401156,0.2522491172096756
4,6250,-4,0.44302335832484363,0.28388061818068316
4.5,6250,-4,0.4128602586032163,0.308259112
5,6250,-4,0.3840246424472371,0.325940901
3.5,6500,-4,0.471673334,0.25275347780103463
4,6500,-4,0.4399213385806908,0.2810992175426079
4.5,6500,-4,0.41190394652407025,0.30514890106278153
5,6500,-4,0.38548637812983133,0.3240767464737678
3.5,6750,-4,0.4625745262468748,0.25709906341538047
4,6750,-4,0.4354482352062551,0.2816807270178712
4.5,6750,-4,0.4095290870234309,0.30375491387132125
5,6750,-4,0.3844473689566533,0.32264324231345454
3.5,7000,-4,0.4407087140014892,0.27204458401821574
4,7000,-4,0.42208500636576973,0.28768271957774993
4.5,7000,-4,0.4011297009493024,0.30513373296982294
5,7000,-4,0.3789616071780925,0.3222043594111966
3.5,7250,-4,0.42239515623791746,0.2877199232332409
4,7250,-4,0.4077286074052291,0.2968034397758235
4.5,7250,-4,0.3914067241780885,0.309610261
5,7250,-4,0.37254877692169047,0.3240269982178339
3.5,7500,-4,0.4511494094661587,0.2556119724339482
