logg,Teff,Z,aLSM,bLSM
3.5,4000,-5,0.053145598,0.32754415390164715
3.5,4250,-5,0.083354472,0.31429321840335733
4,4250,-5,0.059904779,0.30438377317740845
3.5,4500,-5,0.1663622935768579,0.31300418538382646
4,4500,-5,0.11257640111137089,0.3100044713504364
3.5,4750,-5,0.22484806886222725,0.31090162388084686
4,4750,-5,0.15929602010931662,0.3184586131219303
4.5,4750,-5,0.11418233341883496,0.3116090898928589
3.5,5000,-5,0.18884937425051773,0.3273557811735732
4,5000,-5,0.17902198719838489,0.31597209698228285
4.5,5000,-5,0.15615057170200475,0.30983151822397775
5,5000,-5,0.13451459576106772,0.29904369949461473
3.5,5250,-5,0.1973761505960487,0.3246827618504678
4,5250,-5,0.18331018775775312,0.3251323678026597
4.5,5250,-5,0.17069844402583334,0.31620095245326757
5,5250,-5,0.15785036336621477,0.33093434713607195
3.5,5500,-5,0.20901236439614385,0.31447150365905435
4,5500,-5,0.19709248785971678,0.32020648883579883
4.5,5500,-5,0.1817842779259025,0.3219324692448465
5,5500,-5,0.16662844320462228,0.3183704775343258
3.5,5750,-5,0.21495226984865193,0.3071263852383625
4,5750,-5,0.20378587875872448,0.31381887438869477
4.5,5750,-5,0.1909772214826374,0.3176887384025054
5,5750,-5,0.17483405683628767,0.31941665059206364
3.5,6000,-5,0.21663682886028857,0.29887346846407215
4,6000,-5,0.20950850169665744,0.305092185
4.5,6000,-5,0.2003385243666661,0.3095020384249946
5,6000,-5,0.18633484832094596,0.31438946467573525
3.5,6250,-5,0.21483491571892832,0.2956598728148482
4,6250,-5,0.21075480398317298,0.29993133002212446
4.5,6250,-5,0.2054216027039073,0.30292985603384864
5,6250,-5,0.19254911153311347,0.30854466421491833
3.5,6500,-5,0.2067362093129718,0.29421915893408473
4,6500,-5,0.20730823690265318,0.2956935309217388
4.5,6500,-5,0.20490417001277797,0.29739865020755424
5,6500,-5,0.19799302604389124,0.30060057689372854
3.5,6750,-5,0.19782282974075702,0.2956285942038788
4,6750,-5,0.20108380248314675,0.2954509125175029
4.5,6750,-5,0.20203955745142138,0.2951861873748444
5,6750,-5,0.19938941294646606,0.2960143434743458
3.5,7000,-5,0.18120601830294786,0.2994360019249297
4,7000,-5,0.18867807504447942,0.2966770773447988
4.5,7000,-5,0.19393340722179642,0.29413876423868607
5,7000,-5,0.19509482232930908,0.2930999082218862
3.5,7250,-5,0.17220351361228992,0.300584
4,7250,-5,0.1790994212766826,0.2978999942039152
4.5,7250,-5,0.18599239943268267,0.29490236473437825
5,7250,-5,0.19042164470020354,0.2922968040498884
3.5,7500,-5,0.1727350179559645,0.2730764346564179
4,7500,-5,0.16597209380861602,0.2983116162870361
4.5,7500,-5,0.1724900222759295,0.29649914790835863
5,7500,-5,0.17932917652850974,0.2933394942266687
3.5,7750,-5,0.20544444353524843,0.247480209
4,7750,-5,0.1523655624093174,0.2958982030103889
4.5,7750,-5,0.16388965121298343,0.29691836943451483
5,7750,-5,0.17081773395861133,0.29444375394627187
3.5,8000,-5,0.2388849303491399,0.2207012594977553
4,8000,-5,0.18364814753177722,0.2620227587564181
4.5,8000,-5,0.1482448920388342,0.2944496750204602
5,8000,-5,0.15771802620265887,0.29540304240034027
3.5,8250,-5,0.24465072329888762,0.2044983494606622
4,8250,-5,0.21185953646606034,0.2382132003854146
4.5,8250,-5,0.15228140920077055,0.28351521840514976
5,8250,-5,0.150982461,0.2939709088340815
3.5,8500,-5,0.2256490538425672,0.20850411890060042
4,8500,-5,0.23175212040694212,0.20590390250638282
4.5,8500,-5,0.19468726140860196,0.2465459860810739
5,8500,-5,0.14006728169373642,0.28626041763967447
3.5,8750,-5,0.21414577907006943,0.21166739323155012
4,8750,-5,0.22068435774011588,0.2061677828714181
4.5,8750,-5,0.21647225,0.2176604157699565
5,8750,-5,0.16751669361570523,0.2668278229981305
3.5,9000,-5,0.20043573800358053,0.21392876321194892
4,9000,-5,0.20580057078487685,0.20895438968502927
4.5,9000,-5,0.21186903334940482,0.20501253849559092
5,9000,-5,0.20026384944485226,0.2254907498185282
3.5,9250,-5,0.20043573800358053,0.21392876321194892
4,9250,-5,0.20580057078487685,0.20895438968502927
4.5,9250,-5,0.21186903334940482,0.20501253849559092
5,9250,-5,0.20026384944485226,0.2254907498185282
3.5,9500,-5,0.20043573800358053,0.21392876321194892
4,9500,-5,0.20580057078487685,0.20895438968502927
4.5,9500,-5,0.21186903334940482,0.20501253849559092
5,9500,-5,0.20026384944485226,0.2254907498185282
3.5,9750,-5,0.20043573800358053,0.21392876321194892
4,9750,-5,0.20580057078487685,0.20895438968502927
4.5,9750,-5,0.21186903334940482,0.20501253849559092
5,9750,-5,0.20026384944485226,0.2254907498185282
3.5,10000,-5,0.20043573800358053,0.21392876321194892
4,10000,-5,0.20580057078487685,0.20895438968502927
4.5,10000,-5,0.21186903334940482,0.20501253849559092
5,10000,-5,0.20026384944485226,0.2254907498185282
3.5,3750,-4.5,0.082136786,0.4142517167802333
3.5,4000,-4.5,0.055185544,0.33357865663523695
4,4000,-4.5,0.045592079684746545,0.34089985294837666
3.5,4250,-4.5,0.084034706,0.31716597789934775
4,4250,-4.5,0.060701144,0.30723703985115514
4.5,4250,-4.5,0.051709735621476446,0.30537825424808224
3.5,4500,-4.5,0.167467698,0.3135528932274719
4,4500,-4.5,0.11339562929755759,0.3110431577465006
4.5,4500,-4.5,0.080155827,0.3019459153101794
5,4500,-4.5,0.061430237509802164,0.2901917600018316
3.5,4750,-4.5,0.22652202286723444,0.3098609684422756
4,4750,-4.5,0.1600147797453062,0.3188912541138862
4.5,4750,-4.5,0.1148059523132456,0.31206358246316523
5,4750,-4.5,0.083587711,0.3020873145567606
3.5,5000,-4.5,0.18990025322213128,0.32602608117602233
4,5000,-4.5,0.17826924070677314,0.3166982929231087
4.5,5000,-4.5,0.1536420069682076,0.31252170160982284
5,5000,-4.5,0.12982440035574477,0.3203092841803261
3.5,5250,-4.5,0.19810565353135032,0.32399466537931937
4,5250,-4.5,0.1845208107696397,0.32382733405886466
4.5,5250,-4.5,0.1716500824818981,0.31530325677652954
5,5250,-4.5,0.15857377780188395,0.33032777342863784
3.5,5500,-4.5,0.20950742071377088,0.31368578270845937
4,5500,-4.5,0.19697633870458586,0.3195325850931383
4.5,5500,-4.5,0.18243814352642604,0.3212077583335705
5,5500,-4.5,0.16645957444423107,0.3186538442402978
3.5,5750,-4.5,0.21583781062559027,0.30585458467438087
4,5750,-4.5,0.2043937429902231,0.3129549199562581
4.5,5750,-4.5,0.19121577280621702,0.3168476733873985
5,5750,-4.5,0.17519826419584203,0.3190774289371418
3.5,6000,-4.5,0.21686958119599073,0.2986659063178235
4,6000,-4.5,0.20954119251388365,0.30467265316459574
4.5,6000,-4.5,0.20059501368882274,0.30890531794619186
5,6000,-4.5,0.18653037053772034,0.3141651981134874
3.5,6250,-4.5,0.2150603122288168,0.2951665844344929
4,6250,-4.5,0.21104739345564966,0.29935320423083533
4.5,6250,-4.5,0.20589228116483468,0.30222850408057494
5,6250,-4.5,0.19298571552383642,0.3082749308680895
3.5,6500,-4.5,0.2069167161214598,0.29380890204621735
4,6500,-4.5,0.20701381878007538,0.2956175723922886
4.5,6500,-4.5,0.20507612913103931,0.2969948976647523
5,6500,-4.5,0.19818277053138156,0.30022394290216975
3.5,6750,-4.5,0.19789865768057224,0.2953168330629773
4,6750,-4.5,0.2011565783431436,0.29515025274331064
4.5,6750,-4.5,0.20223258907980365,0.294811808
5,6750,-4.5,0.19921656086250342,0.29582971676734854
3.5,7000,-4.5,0.18127325055203666,0.29919035460538024
4,7000,-4.5,0.1887536142692291,0.2964150633559431
4.5,7000,-4.5,0.19400662479912345,0.293893025
5,7000,-4.5,0.1951401966399694,0.29285414528335846
3.5,7250,-4.5,0.17224334136540057,0.30043530181571393
4,7250,-4.5,0.17899000284664662,0.2978892501606605
4.5,7250,-4.5,0.18598572398904578,0.29474804017061407
5,7250,-4.5,0.1901113267034481,0.2922757129396774
3.5,7500,-4.5,0.1721821940896632,0.27462696787217905
4,7500,-4.5,0.16597772126947893,0.2981730368208382
4.5,7500,-4.5,0.1724762113431817,0.29632990873046483
5,7500,-4.5,0.17933678408286663,0.2931757212590285
3.5,7750,-4.5,0.2056573257442478,0.24707866617191096
4,7750,-4.5,0.15236947721351454,0.29580533679172977
4.5,7750,-4.5,0.16398942879802722,0.2967005654578648
5,7750,-4.5,0.17079250846325106,0.29427300752721613
3.5,8000,-4.5,0.23889943058232382,0.2205849502141396
4,8000,-4.5,0.18378742326316647,0.2618515662152738
4.5,8000,-4.5,0.14821034171645936,0.29436802349886454
5,8000,-4.5,0.1577574487826826,0.29523333564867177
3.5,8250,-4.5,0.24458257109969586,0.20445460170708268
4,8250,-4.5,0.21196473924175122,0.2380433318084982
4.5,8250,-4.5,0.1521785277976263,0.28322489856730804
5,8250,-4.5,0.15097739056753065,0.29384085452414244
3.5,8500,-4.5,0.22555854763830815,0.20850253814788036
4,8500,-4.5,0.2317059868338415,0.20583653129919036
4.5,8500,-4.5,0.19474452803743908,0.24637376212579762
5,8500,-4.5,0.14015321847753606,0.28606917228063145
3.5,8750,-4.5,0.21406341147290298,0.21164149322793363
4,8750,-4.5,0.2206172717052032,0.20613383745530311
4.5,8750,-4.5,0.21655334898636602,0.21747429593956935
5,8750,-4.5,0.16759391696883638,0.266662045
3.5,9000,-4.5,0.2003846956638922,0.21385578921339277
4,9000,-4.5,0.20574233754958884,0.20890579277110524
4.5,9000,-4.5,0.21180358434379154,0.20497978027765917
5,9000,-4.5,0.20031540953209517,0.225340529
3.5,9250,-4.5,0.2003846956638922,0.21385578921339277
4,9250,-4.5,0.20574233754958884,0.20890579277110524
4.5,9250,-4.5,0.21180358434379154,0.20497978027765917
5,9250,-4.5,0.20031540953209517,0.225340529
3.5,9500,-4.5,0.2003846956638922,0.21385578921339277
4,9500,-4.5,0.20574233754958884,0.20890579277110524
4.5,9500,-4.5,0.21180358434379154,0.20497978027765917
5,9500,-4.5,0.20031540953209517,0.225340529
3.5,9750,-4.5,0.2003846956638922,0.21385578921339277
4,9750,-4.5,0.20574233754958884,0.20890579277110524
4.5,9750,-4.5,0.21180358434379154,0.20497978027765917
5,9750,-4.5,0.20031540953209517,0.225340529
3.5,10000,-4.5,0.2003846956638922,0.21385578921339277
4,10000,-4.5,0.20574233754958884,0.20890579277110524
4.5,10000,-4.5,0.21180358434379154,0.20497978027765917
5,10000,-4.5,0.20031540953209517,0.225340529
3.5,3750,-4,0.094956599,0.3935410245125611
3.5,4000,-4,0.060758553,0.35019463359224684
4,4000,-4,0.055844366,0.35803293872156744
4.5,4000,-4,0.060820748,0.3732775398970495
3.5,4250,-4,0.087062117,0.3256914377822354
4,4250,-4,0.059670264,0.32055544003815994
3.5,4500,-4,0.1712437176370143,0.3153366221818312
4,4500,-4,0.1146552429513807,0.3153785054512251
4.5,4500,-4,0.082237475,0.3043321974389986
5,4500,-4,0.062070077778689794,0.3003549691368831
3.5,4750,-4,0.22936162303339697,0.3092437985390073
4,4750,-4,0.16288039696694742,0.31916460029886495
4.5,4750,-4,0.11672333378279323,0.31386349353336895
5,4750,-4,0.084732169,0.3044461098495016
3.5,5000,-4,0.1902816295150124,0.32590881723486287
4,5000,-4,0.17910785280927521,0.3166159951532828
4.5,5000,-4,0.16027707131930155,0.3072869770400032
5,5000,-4,0.13371321656639723,0.29763009064837476
3.5,5250,-4,0.19884315348267842,0.3229112328171786
4,5250,-4,0.1855591889318247,0.3225592783122649
4.5,5250,-4,0.17178343226614917,0.31558999110055735
5,5250,-4,0.15985259935793492,0.31178797443718304
3.5,5500,-4,0.21019644342129712,0.3126787400521739
4,5500,-4,0.19825361987007342,0.3175935428779786
4.5,5500,-4,0.18318958087496076,0.3202999425527653
5,5500,-4,0.1670607616792345,0.3180236726513385
3.5,5750,-4,0.21589173763170016,0.3053372713883791
4,5750,-4,0.20504304525656689,0.3118641987919623
4.5,5750,-4,0.19197172446696104,0.31589728036083387
5,5750,-4,0.1757877854659891,0.31816259228448696
