logg,Teff,Z,aLSM,bLSM
3.5,4000,-5,0.026220049,0.214299226
3.5,4250,-5,0.044733628,0.221549038
4,4250,-5,0.030778704,0.210583379
3.5,4500,-5,0.092515962,0.249840207
4,4500,-5,0.06249815,0.233109958
3.5,4750,-5,0.117098307,0.276122664
4,4750,-5,0.087142705,0.256008414
4.5,4750,-5,0.063233601,0.237418309
3.5,5000,-5,0.11941301,0.256728485
4,5000,-5,0.11063693,0.249787336
4.5,5000,-5,0.094756833,0.242439778
5,5000,-5,0.078080323,0.233830834
3.5,5250,-5,0.123558452,0.259513824
4,5250,-5,0.11365754,0.257776378
4.5,5250,-5,0.104183931,0.250583001
5,5250,-5,0.082696942,0.271643807
3.5,5500,-5,0.127852379,0.259783464
4,5500,-5,0.118766935,0.262731444
4.5,5500,-5,0.109768376,0.259773729
5,5500,-5,0.099902092,0.254282915
3.5,5750,-5,0.129296523,0.259060735
4,5750,-5,0.120888992,0.26277846
4.5,5750,-5,0.113041321,0.262312259
5,5750,-5,0.103413753,0.259286389
3.5,6000,-5,0.127426881,0.257071668
4,6000,-5,0.121006851,0.262243731
4.5,6000,-5,0.11515142,0.263463585
5,6000,-5,0.107446077,0.262569866
3.5,6250,-5,0.123833129,0.256804371
4,6250,-5,0.119628291,0.261190878
4.5,6250,-5,0.115586588,0.263159739
5,6250,-5,0.109031034,0.262657538
3.5,6500,-5,0.11490873,0.257168157
4,6500,-5,0.114112761,0.260416232
4.5,6500,-5,0.11244851,0.261812181
5,6500,-5,0.109024991,0.261907838
3.5,6750,-5,0.106848918,0.257948142
4,6750,-5,0.108213282,0.260190977
4.5,6750,-5,0.10875698,0.261043754
5,6750,-5,0.107682115,0.260982905
3.5,7000,-5,0.093279826,0.258934761
4,7000,-5,0.097746075,0.25967792
4.5,7000,-5,0.101105687,0.259856193
5,7000,-5,0.102542143,0.259420074
3.5,7250,-5,0.086028131,0.258675332
4,7250,-5,0.090459781,0.258739822
4.5,7250,-5,0.094820086,0.258917144
5,7250,-5,0.098076937,0.258402351
3.5,7500,-5,0.090018701,0.230742874
4,7500,-5,0.081470628,0.255490244
4.5,7500,-5,0.085278437,0.256527778
5,7500,-5,0.089620763,0.256494388
3.5,7750,-5,0.108434388,0.218986663
4,7750,-5,0.07436106,0.248123779
4.5,7750,-5,0.079771746,0.254075566
5,7750,-5,0.083857474,0.254688623
3.5,8000,-5,0.130155439,0.204225629
4,8000,-5,0.092725601,0.227526942
4.5,8000,-5,0.071691144,0.245759316
5,8000,-5,0.076045501,0.250622083
3.5,8250,-5,0.137592432,0.187176224
4,8250,-5,0.112563607,0.211932696
4.5,8250,-5,0.074004658,0.237520517
5,8250,-5,0.072763589,0.246394465
3.5,8500,-5,0.12778183,0.183574103
4,8500,-5,0.131221389,0.181802306
4.5,8500,-5,0.103807761,0.212055121
5,8500,-5,0.06821621,0.23502538
3.5,8750,-5,0.122245705,0.18214091
4,8750,-5,0.125210609,0.178332661
4.5,8750,-5,0.122147807,0.186625324
5,8750,-5,0.087539455,0.22194341
3.5,9000,-5,0.115931589,0.179455554
4,9000,-5,0.118101276,0.175304188
4.5,9000,-5,0.120591152,0.172880347
5,9000,-5,0.113415008,0.186795764
3.5,9250,-5,0.115931589,0.179455554
4,9250,-5,0.118101276,0.175304188
4.5,9250,-5,0.120591152,0.172880347
5,9250,-5,0.113415008,0.186795764
3.5,9500,-5,0.115931589,0.179455554
4,9500,-5,0.118101276,0.175304188
4.5,9500,-5,0.120591152,0.172880347
5,9500,-5,0.113415008,0.186795764
3.5,9750,-5,0.115931589,0.179455554
4,9750,-5,0.118101276,0.175304188
4.5,9750,-5,0.120591152,0.172880347
5,9750,-5,0.113415008,0.186795764
3.5,10000,-5,0.115931589,0.179455554
4,10000,-5,0.118101276,0.175304188
4.5,10000,-5,0.120591152,0.172880347
5,10000,-5,0.113415008,0.186795764
3.5,3750,-4.5,0.018076745,0.287810451
3.5,4000,-4.5,0.026298499,0.221018629
4,4000,-4.5,0.019629337,0.22619736
3.5,4250,-4.5,0.04484191,0.224082642
4,4250,-4.5,0.031192345,0.212983871
4.5,4250,-4.5,0.025245154,0.210868819
3.5,4500,-4.5,0.0928255,0.250852429
4,4500,-4.5,0.062811756,0.234217372
4.5,4500,-4.5,0.043381983,0.219868364
5,4500,-4.5,0.033095657,0.206736577
3.5,4750,-4.5,0.117674897,0.276337115
4,4750,-4.5,0.087332879,0.256743221
4.5,4750,-4.5,0.063521575,0.237982151
5,4750,-4.5,0.045601146,0.222868588
3.5,5000,-4.5,0.119923639,0.256250951
